Month,Day,Hour,Beam,Diffuse
1,12,14,718,160
1,12,15,613,144
1,12,16,416,105
1,12,17,0,15
1,12,18,0,0
1,12,19,0,0
1,12,20,0,0
1,12,21,0,0
1,12,22,0,0
1,12,23,0,0
1,13,0,0,0
1,13,1,0,0
1,13,2,0,0
1,13,3,0,0
1,13,4,0,0
1,13,5,0,0
1,13,6,0,0
1,13,7,0,6
1,13,8,378,96
1,13,9,592,139
1,13,10,697,166
1,13,11,750,180
1,13,12,767,185
1,13,13,754,181
1,13,14,707,169
1,13,15,612,145
1,13,16,432,103
1,13,17,0,18
1,13,18,0,0
1,13,19,0,0
1,13,20,0,0
1,13,21,0,0
1,13,22,0,0
1,13,23,0,0
1,14,0,0,0
1,14,1,0,0
1,14,2,0,0
1,14,3,0,0
1,14,4,0,0
1,14,5,0,0
1,14,6,0,0
1,14,7,0,6
1,14,8,386,93
1,14,9,590,139
1,14,10,696,166
1,14,11,750,180
1,14,12,769,185
1,14,13,758,182
1,14,14,664,193
1,14,15,352,203
1,14,16,441,104
1,14,17,0,7
1,14,18,0,0
1,14,19,0,0
1,14,20,0,0
1,14,21,0,0
1,14,22,0,0
1,14,23,0,0
1,15,0,0,0
1,15,1,0,0
1,15,2,0,0
1,15,3,0,0
1,15,4,0,0
1,15,5,0,0
1,15,6,0,0
1,15,7,0,6
1,15,8,377,92
1,15,9,578,138
1,15,10,91,205
1,15,11,736,179
1,15,12,72,315
1,15,13,162,323
1,15,14,7,203
1,15,15,1,150
1,15,16,0,88
1,15,17,0,7
1,15,18,0,0
1,15,19,0,0
1,15,20,0,0
1,15,21,0,0
1,15,22,0,0
1,15,23,0,0
1,16,0,0,0
1,16,1,0,0
1,16,2,0,0
1,16,3,0,0
1,16,4,0,0
1,16,5,0,0
1,16,6,0,0
1,16,7,0,4
1,16,8,371,91
1,16,9,411,199
1,16,10,64,252
1,16,11,729,178
1,16,12,676,215
1,16,13,735,180
1,16,14,645,185
1,16,15,599,144
1,16,16,426,103
1,16,17,0,21
1,16,18,0,0
1,16,19,0,0
1,16,20,0,0
1,16,21,0,0
1,16,22,0,0
1,16,23,0,0
1,17,0,0,0
1,17,1,0,0
1,17,2,0,0
1,17,3,0,0
1,17,4,0,0
1,17,5,0,0
1,17,6,0,0
1,17,7,0,7
1,17,8,205,108
1,17,9,580,138
1,17,10,676,166
1,17,11,704,188
1,17,12,758,185
1,17,13,748,181
1,17,14,704,169
1,17,15,613,146
1,17,16,440,105
1,17,17,17,31
1,17,18,0,0
1,17,19,0,0
1,17,20,0,0
1,17,21,0,0
1,17,22,0,0
1,17,23,0,0
1,18,0,0,0
1,18,1,0,0
1,18,2,0,0
1,18,3,0,0
1,18,4,0,0
1,18,5,0,0
1,18,6,0,0
1,18,7,0,7
1,18,8,350,102
1,18,9,594,140
1,18,10,703,167
1,18,11,760,182
1,18,12,782,188
1,18,13,773,185
1,18,14,729,162
1,18,15,635,144
1,18,16,453,108
1,18,17,0,27
1,18,18,0,0
1,18,19,0,0
1,18,20,0,0
1,18,21,0,0
1,18,22,0,0
1,18,23,0,0
1,19,0,0,0
1,19,1,0,0
1,19,2,0,0
1,19,3,0,0
1,19,4,0,0
1,19,5,0,0
1,19,6,0,0
1,19,7,0,8
1,19,8,353,102
1,19,9,600,140
1,19,10,713,158
1,19,11,768,170
1,19,12,787,175
1,19,13,775,172
1,19,14,731,162
1,19,15,638,144
1,19,16,338,144
1,19,17,0,25
1,19,18,0,0
1,19,19,0,0
1,19,20,0,0
1,19,21,0,0
1,19,22,0,0
1,19,23,0,0
1,20,0,0,0
1,20,1,0,0
1,20,2,0,0
1,20,3,0,0
1,20,4,0,0
1,20,5,0,0
1,20,6,0,0
1,20,7,0,8
1,20,8,400,95
1,20,9,601,141
1,20,10,688,171
1,20,11,600,239
1,20,12,760,194
1,20,13,750,190
1,20,14,587,216
1,20,15,349,213
1,20,16,456,108
1,20,17,0,16
1,20,18,0,0
1,20,19,0,0
1,20,20,0,0
1,20,21,0,0
1,20,22,0,0
1,20,23,0,0
1,21,0,0,0
1,21,1,0,0
1,21,2,0,0
1,21,3,0,0
1,21,4,0,0
1,21,5,0,0
1,21,6,0,0
1,21,7,0,9
1,21,8,32,97
1,21,9,282,207
1,21,10,162,291
1,21,11,92,318
1,21,12,15,266
1,21,13,5,202
1,21,14,0,118
1,21,15,0,99
1,21,16,0,49
1,21,17,0,9
1,21,18,0,0
1,21,19,0,0
1,21,20,0,0
1,21,21,0,0
1,21,22,0,0
1,21,23,0,0
1,22,0,0,0
1,22,1,0,0
1,22,2,0,0
1,22,3,0,0
1,22,4,0,0
1,22,5,0,0
1,22,6,0,0
1,22,7,0,9
1,22,8,394,95
1,22,9,594,141
1,22,10,699,167
1,22,11,753,182
1,22,12,24,258
1,22,13,31,263
1,22,14,719,172
1,22,15,632,150
1,22,16,466,110
1,22,17,19,37
1,22,18,0,0
1,22,19,0,0
1,22,20,0,0
1,22,21,0,0
1,22,22,0,0
1,22,23,0,0
1,23,0,0,0
1,23,1,0,0
1,23,2,0,0
1,23,3,0,0
1,23,4,0,0
1,23,5,0,0
1,23,6,0,0
1,23,7,0,10
1,23,8,236,130
1,23,9,56,187
1,23,10,236,294
1,23,11,648,240
1,23,12,697,215
1,23,13,760,180
1,23,14,626,224
1,23,15,173,229
1,23,16,63,139
1,23,17,7,36
1,23,18,0,0
1,23,19,0,0
1,23,20,0,0
1,23,21,0,0
1,23,22,0,0
1,23,23,0,0
1,24,0,0,0
1,24,1,0,0
1,24,2,0,0
1,24,3,0,0
1,24,4,0,0
1,24,5,0,0
1,24,6,0,0
1,24,7,0,8
1,24,8,380,94
1,24,9,578,139
1,24,10,652,181
1,24,11,736,181
1,24,12,754,186
1,24,13,410,309
1,24,14,700,171
1,24,15,391,222
1,24,16,51,127
1,24,17,0,15
1,24,18,0,0
1,24,19,0,0
1,24,20,0,0
1,24,21,0,0
1,24,22,0,0
1,24,23,0,0
1,25,0,0,0
1,25,1,0,0
1,25,2,0,0
1,25,3,0,0
1,25,4,0,0
1,25,5,0,0
1,25,6,0,0
1,25,7,0,12
1,25,8,102,120
1,25,9,119,203
1,25,10,0,166
1,25,11,14,251
1,25,12,35,340
1,25,13,39,311
1,25,14,397,280
1,25,15,0,101
1,25,16,0,89
1,25,17,0,17
1,25,18,0,0
1,25,19,0,0
1,25,20,0,0
1,25,21,0,0
1,25,22,0,0
1,25,23,0,0
1,26,0,0,0
1,26,1,0,0
1,26,2,0,0
1,26,3,0,0
1,26,4,0,0
1,26,5,0,0
1,26,6,0,0
1,26,7,0,13
1,26,8,389,95
1,26,9,587,141
1,26,10,692,167
1,26,11,746,182
1,26,12,767,188
1,26,13,758,185
1,26,14,717,173
1,26,15,632,151
1,26,16,325,147
1,26,17,0,24
1,26,18,0,0
1,26,19,0,0
1,26,20,0,0
1,26,21,0,0
1,26,22,0,0
1,26,23,0,0
1,27,0,0,0
1,27,1,0,0
1,27,2,0,0
1,27,3,0,0
1,27,4,0,0
1,27,5,0,0
1,27,6,0,0
1,27,7,0,10
1,27,8,391,96
1,27,9,586,141
1,27,10,689,167
1,27,11,741,182
1,27,12,760,187
1,27,13,749,184
1,27,14,707,172
1,27,15,360,233
1,27,16,0,97
1,27,17,0,13
1,27,18,0,0
1,27,19,0,0
1,27,20,0,0
1,27,21,0,0
1,27,22,0,0
1,27,23,0,0
1,28,0,0,0
1,28,1,0,0
1,28,2,0,0
1,28,3,0,0
1,28,4,0,0
1,28,5,0,0
1,28,6,0,0
1,28,7,0,15
1,28,8,409,98
1,28,9,606,143
1,28,10,711,170
1,28,11,763,178
1,28,12,787,190
1,28,13,773,180
1,28,14,741,177
1,28,15,658,155
1,28,16,412,144
1,28,17,28,44
1,28,18,0,0
1,28,19,0,0
1,28,20,0,0
1,28,21,0,0
1,28,22,0,0
1,28,23,0,0
1,29,0,0,0
1,29,1,0,0
1,29,2,0,0
1,29,3,0,0
1,29,4,0,0
1,29,5,0,0
1,29,6,0,0
1,29,7,0,12
1,29,8,413,99
1,29,9,609,144
1,29,10,707,167
1,29,11,765,185
1,29,12,784,190
1,29,13,774,188
1,29,14,734,176
1,29,15,650,154
1,29,16,492,116
1,29,17,36,46
1,29,18,0,0
1,29,19,0,0
1,29,20,0,0
1,29,21,0,0
1,29,22,0,0
1,29,23,0,0
1,30,0,0,0
1,30,1,0,0
1,30,2,0,0
1,30,3,0,0
1,30,4,0,0
1,30,5,0,0
1,30,6,0,0
1,30,7,0,14
1,30,8,394,103
1,30,9,589,147
1,30,10,712,166
1,30,11,768,186
1,30,12,764,190
1,30,13,777,188
1,30,14,689,205
1,30,15,339,232
1,30,16,354,138
1,30,17,44,49
1,30,18,0,0
1,30,19,0,0
1,30,20,0,0
1,30,21,0,0
1,30,22,0,0
1,30,23,0,0
1,31,0,0,0
1,31,1,0,0
1,31,2,0,0
1,31,3,0,0
1,31,4,0,0
1,31,5,0,0
1,31,6,0,0
1,31,7,0,19
1,31,8,351,105
1,31,9,593,148
1,31,10,696,171
1,31,11,677,244
1,31,12,347,353
1,31,13,441,302
1,31,14,604,226
1,31,15,655,155
1,31,16,498,118
1,31,17,32,49
1,31,18,0,0
1,31,19,0,0
1,31,20,0,0
1,31,21,0,0
1,31,22,0,0
1,31,23,0,0
2,1,0,0,0
2,1,1,0,0
2,1,2,0,0
2,1,3,0,0
2,1,4,0,0
2,1,5,0,0
2,1,6,0,0
2,1,7,0,16
2,1,8,423,101
2,1,9,633,138
2,1,10,719,163
2,1,11,785,171
2,1,12,809,174
2,1,13,800,172
2,1,14,760,163
2,1,15,661,154
2,1,16,400,148
2,1,17,63,53
2,1,18,0,0
2,1,19,0,0
2,1,20,0,0
2,1,21,0,0
2,1,22,0,0
2,1,23,0,0
2,2,0,0,0
2,2,1,0,0
2,2,2,0,0
2,2,3,0,0
2,2,4,0,0
2,2,5,0,0
2,2,6,0,0
2,2,7,5,20
2,2,8,429,101
2,2,9,635,139
2,2,10,724,162
2,2,11,773,175
2,2,12,811,174
2,2,13,793,175
2,2,14,718,176
2,2,15,663,155
2,2,16,410,149
2,2,17,50,52
2,2,18,0,0
2,2,19,0,0
2,2,20,0,0
2,2,21,0,0
2,2,22,0,0
2,2,23,0,0
2,3,0,0,0
2,3,1,0,0
2,3,2,0,0
2,3,3,0,0
2,3,4,0,0
2,3,5,0,0
2,3,6,0,0
2,3,7,0,19
2,3,8,435,102
2,3,9,625,141
2,3,10,729,162
2,3,11,778,174
2,3,12,781,185
2,3,13,751,191
2,3,14,730,181
2,3,15,605,167
2,3,16,391,152
2,3,17,59,55
2,3,18,0,0
2,3,19,0,0
2,3,20,0,0
2,3,21,0,0
2,3,22,0,0
2,3,23,0,0
2,4,0,0,0
2,4,1,0,0
2,4,2,0,0
2,4,3,0,0
2,4,4,0,0
2,4,5,0,0
2,4,6,0,0
2,4,7,0,21
2,4,8,443,104
2,4,9,629,142
2,4,10,715,167
2,4,11,743,188
2,4,12,786,184
2,4,13,784,180
2,4,14,765,164
2,4,15,683,148
2,4,16,534,118
2,4,17,220,59
2,4,18,0,0
2,4,19,0,0
2,4,20,0,0
2,4,21,0,0
2,4,22,0,0
2,4,23,0,0
2,5,0,0,0
2,5,1,0,0
2,5,2,0,0
2,5,3,0,0
2,5,4,0,0
2,5,5,0,0
2,5,6,0,0
2,5,7,2,22
2,5,8,346,109
2,5,9,516,173
2,5,10,721,166
2,5,11,772,179
2,5,12,790,184
2,5,13,769,185
2,5,14,589,261
2,5,15,102,245
2,5,16,11,138
2,5,17,2,48
2,5,18,0,0
2,5,19,0,0
2,5,20,0,0
2,5,21,0,0
2,5,22,0,0
2,5,23,0,0
2,6,0,0,0
2,6,1,0,0
2,6,2,0,0
2,6,3,0,0
2,6,4,0,0
2,6,5,0,0
2,6,6,0,0
2,6,7,9,24
2,6,8,440,103
2,6,9,638,145
2,6,10,725,165
2,6,11,793,172
2,6,12,813,187
2,6,13,805,185
2,6,14,752,170
2,6,15,669,154
2,6,16,419,153
2,6,17,71,64
2,6,18,0,0
2,6,19,0,0
2,6,20,0,0
2,6,21,0,0
2,6,22,0,0
2,6,23,0,0
2,7,0,0,0
2,7,1,0,0
2,7,2,0,0
2,7,3,0,0
2,7,4,0,0
2,7,5,0,0
2,7,6,0,0
2,7,7,16,25
2,7,8,437,105
2,7,9,627,145
2,7,10,713,170
2,7,11,763,183
2,7,12,762,204
2,7,13,660,236
2,7,14,716,188
2,7,15,642,163
2,7,16,400,157
2,7,17,50,58
2,7,18,0,0
2,7,19,0,0
2,7,20,0,0
2,7,21,0,0
2,7,22,0,0
2,7,23,0,0
2,8,0,0,0
2,8,1,0,0
2,8,2,0,0
2,8,3,0,0
2,8,4,0,0
2,8,5,0,0
2,8,6,0,0
2,8,7,3,24
2,8,8,393,110
2,8,9,587,155
2,8,10,700,175
2,8,11,769,182
2,8,12,794,185
2,8,13,795,179
2,8,14,770,167
2,8,15,650,163
2,8,16,410,157
2,8,17,81,63
2,8,18,0,0
2,8,19,0,0
2,8,20,0,0
2,8,21,0,0
2,8,22,0,0
2,8,23,0,0
2,9,0,0,0
2,9,1,0,0
2,9,2,0,0
2,9,3,0,0
2,9,4,0,0
2,9,5,0,0
2,9,6,0,0
2,9,7,24,29
2,9,8,442,108
2,9,9,599,152
2,9,10,725,168
2,9,11,756,188
2,9,12,773,204
2,9,13,708,219
2,9,14,727,181
2,9,15,642,163
2,9,16,420,157
2,9,17,74,68
2,9,18,0,0
2,9,19,0,0
2,9,20,0,0
2,9,21,0,0
2,9,22,0,0
2,9,23,0,0
2,10,0,0,0
2,10,1,0,0
2,10,2,0,0
2,10,3,0,0
2,10,4,0,0
2,10,5,0,0
2,10,6,0,0
2,10,7,0,25
2,10,8,192,136
2,10,9,550,188
2,10,10,712,173
2,10,11,781,180
